molecule,functional,oxidation_potential,reduction_potential
BF3-Acr_m,experiment,1.69,-0.7
BF3-Acr_o,experiment,1.78,-0.97
BF3-Acr_p,experiment,1.71,-0.8
BOH-Acr_m,experiment,1.59,-0.67
BOH-Acr_o,experiment,1.6,-0.58
BOH-Acr_p,experiment,1.55,-0.59
CA_1,experiment,1.49,-1.24
CA_2,experiment,1.3,-1.59
CA_3,experiment,1.79,-1.16
Eos_1,experiment,0.39,-1.11
Eos_2,experiment,0.54,-0.99
Eos_3,experiment,0.48,-1.08
Eos_Y,experiment,0.77,-1
Me2-Acr_1,experiment,0.82,
Me2-Acr_2,experiment,0.76,
Me2-Acr_3,experiment,0.9,
Mes-Acr_1,experiment,1.88,-0.49
NCE_1,experiment,1.75,-1.74
NCE_2,experiment,1.47,-1.76
NCE_3,experiment,1.64,-1.7
NCE_4,experiment,1.35,-1.59
PA_1,experiment,0.19,
PA_2,experiment,0.23,
PA_3,experiment,0.32,
PDI_1,experiment,,-0.58254717
PDI_2,experiment,,-0.420665634674922
PDI_3,experiment,,0.11216216216216146
Ph-Acr_1,experiment,,-0.83
Ph-Acr_2,experiment,,-0.48
POZ_1,experiment,0.63,
POZ_2,experiment,,
POZ_3,experiment,0.65,
POZ_4,experiment,,
POZ_5,experiment,0.62,
PTZ_1,experiment,0.815,
PTZ_2,experiment,0.903,
PTZ_3,experiment,0.902,
Rh_6G,experiment,1.4,-0.95
Rh_B,experiment,1.18,-0.87
BF3-Acr_m,wPBEPP86,2.636715069845125,-1.0265901692169037
BF3-Acr_o,wPBEPP86,2.6083090406215943,-1.1688891393929892
BF3-Acr_p,wPBEPP86,2.679286476476263,-0.9990162634209776
BOH-Acr_m,wPBEPP86,2.829466638135327,-0.727053122356538
BOH-Acr_o,wPBEPP86,2.860855794767815,-0.6729018854104298
BOH-Acr_p,wPBEPP86,2.842182614185587,-0.7325350853326538
CA_1,wPBEPP86,2.0827799790858617,-1.372183655651447
CA_2,wPBEPP86,1.8925034790807,-1.7150041557652864
CA_3,wPBEPP86,2.254582031194472,-1.170120781900542
Eos_1,wPBEPP86,1.1761305327178428,-2.1332636548331534
Eos_2,wPBEPP86,1.345347548440162,-2.0417490865686894
Eos_3,wPBEPP86,1.9262942702314483,-2.6532358260343627
Eos_Y,wPBEPP86,1.3335631243165045,-1.9997817007798795
Me2-Acr_1,wPBEPP86,1.45647563712381,-2.3368889536156323
Me2-Acr_2,wPBEPP86,1.7859670187985541,-3.024638998954505
Me2-Acr_3,wPBEPP86,1.8313112601774693,-2.5563224743508073
Mes-Acr_1,wPBEPP86,2.923083762308199,-0.7556605635514111
NCE_1,wPBEPP86,2.021456321229956,-2.0772143288392764
NCE_2,wPBEPP86,1.8834702811582575,-2.0677655867585596
NCE_3,wPBEPP86,2.198909934608631,-2.4066022040765285
NCE_4,wPBEPP86,2.6243508397524353,-2.4090474976797163
PA_1,wPBEPP86,0.1623199351279183,-3.1797755008832542
PA_2,wPBEPP86,0.21887537022146208,-2.306979562785066
PA_3,wPBEPP86,0.3299593897819433,-2.3067933388937
PDI_1,wPBEPP86,2.2957195531727974,-0.6712520211727782
PDI_2,wPBEPP86,2.5951763805967767,-0.6475171584854524
PDI_3,wPBEPP86,3.1006846705610513,-0.19814136344254774
Ph-Acr_1,wPBEPP86,2.0826991114150433,-1.2400852204507387
Ph-Acr_2,wPBEPP86,2.361894686384363,-0.9841823854954148
POZ_1,wPBEPP86,1.4601406121736193,-3.059635222295353
POZ_2,wPBEPP86,1.2851785213117655,-2.885281419080326
POZ_3,wPBEPP86,1.0437293878886598,-2.859569485166635
POZ_4,wPBEPP86,0.9147479239906042,-3.146643589109736
POZ_5,wPBEPP86,1.2681279440212947,-3.0419062872258005
PTZ_1,wPBEPP86,0.9122732782449514,-2.9650876345845285
PTZ_2,wPBEPP86,1.038498074796685,-2.9960393328976513
PTZ_3,wPBEPP86,1.392243063366596,-2.4910145483939434
Rh_6G,wPBEPP86,1.940458286570104,-1.2684953264959802
Rh_B,wPBEPP86,1.9015791153561716,-1.1895519116834277
BF3-Acr_m,B2GPPLYP,2.1453075629431915,-1.2469034044666758
BF3-Acr_o,B2GPPLYP,2.1461947491498767,-1.3812913540124048
BF3-Acr_p,B2GPPLYP,2.1856135454871133,-1.216454559961969
BOH-Acr_m,B2GPPLYP,2.3439869444891395,-0.951927108672824
BOH-Acr_o,B2GPPLYP,2.3841937425863975,-0.9151833735493748
BOH-Acr_p,B2GPPLYP,2.358926881814715,-0.9545259053231088
CA_1,B2GPPLYP,1.4115396516231078,-1.6483913587249037
CA_2,B2GPPLYP,1.240286981496868,-1.9285997452077068
CA_3,B2GPPLYP,1.5147034307144835,-1.4105933187049087
Eos_1,B2GPPLYP,0.40114875098904257,-2.4289458185767785
Eos_2,B2GPPLYP,0.5418405034411533,-2.3203766716277396
Eos_3,B2GPPLYP,0.6219623795641187,-2.4763092326383025
Eos_Y,B2GPPLYP,0.7332074930562351,-2.272384169334857
Me2-Acr_1,B2GPPLYP,0.7120195239367231,-2.6762151686878575
Me2-Acr_2,B2GPPLYP,0.7272875890450967,-2.9492285262257885
Me2-Acr_3,B2GPPLYP,0.869286267316391,-2.5264682905497517
Mes-Acr_1,B2GPPLYP,2.3045903225942377,-0.9992520942270757
NCE_1,B2GPPLYP,1.4547174331791792,-2.2679572854876136
NCE_2,B2GPPLYP,1.1666176552859646,-2.2764761295054226
NCE_3,B2GPPLYP,1.4449025623191583,-2.430897249836214
NCE_4,B2GPPLYP,1.4479686325089007,-2.420057669919113
PA_1,B2GPPLYP,-0.25163790643008443,-3.4775158889437163
PA_2,B2GPPLYP,-0.20466082372529026,-2.645375330436878
PA_3,B2GPPLYP,-0.08678886806766073,-2.6006237143484343
PDI_1,B2GPPLYP,1.599497044287208,-1.001837991327081
PDI_2,B2GPPLYP,1.8867115524450453,-0.8926683449241328
PDI_3,B2GPPLYP,2.34404426071056,-0.5171116343450111
Ph-Acr_1,B2GPPLYP,1.4230858445286438,-1.5111257531460969
Ph-Acr_2,B2GPPLYP,1.7701964136695247,-1.2321873615977652
POZ_1,B2GPPLYP,0.48207907579258613,-2.9118280222812873
POZ_2,B2GPPLYP,0.45800200501239896,-2.866983663230532
POZ_3,B2GPPLYP,0.4169710994420095,-3.1193571708205807
POZ_4,B2GPPLYP,0.36630870707918284,-3.475288261816097
POZ_5,B2GPPLYP,0.41493180611228286,-2.9721998360864683
PTZ_1,B2GPPLYP,0.3584826358972668,-3.402894709184805
PTZ_2,B2GPPLYP,0.48440242317251236,-3.3078611727367795
PTZ_3,B2GPPLYP,0.6746900199518091,-2.8164172327469825
Rh_6G,B2GPPLYP,1.32276209699626,-1.5204726301642442
Rh_B,B2GPPLYP,1.252729721100435,-1.4800118324632323
BF3-Acr_m,RI-SCS-PBE-QIDH,2.2907253599126376,-1.088837394902602
BF3-Acr_o,RI-SCS-PBE-QIDH,2.2853119846325898,-1.2223286410420342
BF3-Acr_p,RI-SCS-PBE-QIDH,2.332207063890494,-1.0597353803546676
BOH-Acr_m,RI-SCS-PBE-QIDH,2.4841778945954935,-0.792166635672694
BOH-Acr_o,RI-SCS-PBE-QIDH,2.5192838895521064,-0.7521997963895801
BOH-Acr_p,RI-SCS-PBE-QIDH,2.497453982937059,-0.7959940780138752
CA_1,RI-SCS-PBE-QIDH,1.6293569435532689,-1.4957227004576792
CA_2,RI-SCS-PBE-QIDH,1.444203967976608,-1.7941147018674144
CA_3,RI-SCS-PBE-QIDH,1.75524778333837,-1.2714075162036003
Eos_1,RI-SCS-PBE-QIDH,0.5512769709856293,-2.2862704538502494
Eos_2,RI-SCS-PBE-QIDH,0.6987530208194475,-2.187008402788601
Eos_3,RI-SCS-PBE-QIDH,0.9723222391852371,-2.4800695180568573
Eos_Y,RI-SCS-PBE-QIDH,0.8371390749496932,-2.136129353619681
Me2-Acr_1,RI-SCS-PBE-QIDH,0.911979297198199,-2.5505508283899445
Me2-Acr_2,RI-SCS-PBE-QIDH,1.0396772063678021,-2.8929065684620783
Me2-Acr_3,RI-SCS-PBE-QIDH,1.1398043556283595,-2.5343292471212306
Mes-Acr_1,RI-SCS-PBE-QIDH,2.4824304598677234,-0.8317973561929892
NCE_1,RI-SCS-PBE-QIDH,1.6197611853915852,-2.1732437675563334
NCE_2,RI-SCS-PBE-QIDH,1.3777439512060443,-2.176199059319303
NCE_3,RI-SCS-PBE-QIDH,1.6713267288136544,-2.3707229608293443
NCE_4,RI-SCS-PBE-QIDH,1.8367455487720168,-2.3602493975802963
PA_1,RI-SCS-PBE-QIDH,-0.1054465762639456,-3.4096555236769803
PA_2,RI-SCS-PBE-QIDH,-0.05223296211201234,-2.5237601457387884
PA_3,RI-SCS-PBE-QIDH,0.06390974441362829,-2.4717259056016463
PDI_1,RI-SCS-PBE-QIDH,1.7799874687865351,-0.8711806771211723
PDI_2,RI-SCS-PBE-QIDH,2.079717476310786,-0.7793128734157797
PDI_3,RI-SCS-PBE-QIDH,2.5598996945399373,-0.3661583729365958
Ph-Acr_1,RI-SCS-PBE-QIDH,1.585821837700541,-1.3494285838687619
Ph-Acr_2,RI-SCS-PBE-QIDH,1.9234020677913488,-1.0666034800089106
POZ_1,RI-SCS-PBE-QIDH,0.754283559081939,-2.9028227857030773
POZ_2,RI-SCS-PBE-QIDH,0.6851524278838603,-2.769113309605295
POZ_3,RI-SCS-PBE-QIDH,0.6098029299404004,-3.0117971911722954
POZ_4,RI-SCS-PBE-QIDH,0.5323699896462193,-3.357344990545693
POZ_5,RI-SCS-PBE-QIDH,0.6822723870489522,-2.96982073012618
PTZ_1,RI-SCS-PBE-QIDH,0.5411003295165226,-3.1899344818851856
PTZ_2,RI-SCS-PBE-QIDH,0.6760844021062091,-3.192084573496266
PTZ_3,RI-SCS-PBE-QIDH,0.8879601151276182,-2.693301724870226
Rh_6G,RI-SCS-PBE-QIDH,1.448473769080585,-1.3700422714218017
Rh_B,RI-SCS-PBE-QIDH,1.3841813735051973,-1.3168922674614874
BF3-Acr_m,RI-B2PLYP,1.9695591990434016,-1.1601276584076188
BF3-Acr_o,RI-B2PLYP,1.9656432606341419,-1.301981705665824
BF3-Acr_p,RI-B2PLYP,2.0029733346818768,-1.130710655357773
BOH-Acr_m,RI-B2PLYP,2.1922043099797035,-0.8629635369973934
BOH-Acr_o,RI-B2PLYP,2.2327568394762594,-0.8274751585283266
BOH-Acr_p,RI-B2PLYP,2.2104135436145,-0.8623710055784399
CA_1,RI-B2PLYP,1.1965514849431882,-1.6334460433632043
CA_2,RI-B2PLYP,1.005258663528764,-1.929021506869129
CA_3,RI-B2PLYP,1.3234145424869643,-1.3949652207273133
Eos_1,RI-B2PLYP,0.13536856104122297,-2.3723086978828793
Eos_2,RI-B2PLYP,0.281384263140926,-2.262377773466058
Eos_3,RI-B2PLYP,0.1958571737649315,-2.3808244993918906
Eos_Y,RI-B2PLYP,0.4924802473093388,-2.2243409800603167
Me2-Acr_1,RI-B2PLYP,0.5263900076872439,-2.6435632764945707
Me2-Acr_2,RI-B2PLYP,0.4099167972389912,-2.8256493318189615
Me2-Acr_3,RI-B2PLYP,0.5745681763747843,-2.439778660954153
Mes-Acr_1,RI-B2PLYP,2.142031629004425,-0.9147256837895053
NCE_1,RI-B2PLYP,1.312795754740531,-2.1752758038727866
NCE_2,RI-B2PLYP,0.9929823950762531,-2.1826752320062868
NCE_3,RI-B2PLYP,1.2181248553074893,-2.2127876527771098
NCE_4,RI-B2PLYP,0.995287428637794,-2.1965965101617098
PA_1,RI-B2PLYP,-0.30223299160903494,-3.4129554951218664
PA_2,RI-B2PLYP,-0.26194265126990324,-2.6126277036308974
PA_3,RI-B2PLYP,-0.13732661420696246,-2.5460268439886713
PDI_1,RI-B2PLYP,1.3820454511661904,-0.9726541036708674
PDI_2,RI-B2PLYP,1.6376799436310199,-0.8297653956258766
PDI_3,RI-B2PLYP,2.012527820775465,-0.481517549072624
Ph-Acr_1,RI-B2PLYP,1.2364044992257694,-1.455045300317106
Ph-Acr_2,RI-B2PLYP,1.6180515697641455,-1.1559099470402092
POZ_1,RI-B2PLYP,0.2330659277295064,-2.7788185503807257
POZ_2,RI-B2PLYP,0.26087415794486457,-2.754046130179567
POZ_3,RI-B2PLYP,0.244604593713313,-3.033836516135442
POZ_4,RI-B2PLYP,0.22484049359431513,-3.432055698322104
POZ_5,RI-B2PLYP,0.16622861734679706,-2.8268069631187314
PTZ_1,RI-B2PLYP,0.23743601291704497,-3.182267458783996
PTZ_2,RI-B2PLYP,0.3634194051866988,-3.272307292613266
PTZ_3,RI-B2PLYP,0.3956564112256622,-2.785606682134282
Rh_6G,RI-B2PLYP,1.1224004916982508,-1.451498978120462
Rh_B,RI-B2PLYP,1.0178359300137094,-1.4157535649015585
BF3-Acr_m,RI-wB2PLYP,2.23418433706075,-1.009431089494179
BF3-Acr_o,RI-wB2PLYP,2.2237051886914943,-1.1608838587655623
BF3-Acr_p,RI-wB2PLYP,2.2767237382312455,-0.9791472249866393
BOH-Acr_m,RI-wB2PLYP,2.4150326953719485,-0.7168615176115498
BOH-Acr_o,RI-wB2PLYP,2.4512880866547526,-0.6704921617312776
BOH-Acr_p,RI-wB2PLYP,2.4263182616613443,-0.7188060148705215
CA_1,RI-wB2PLYP,1.5491443541704273,-1.5610966804582018
CA_2,RI-wB2PLYP,1.3183034849781068,-1.8430895913994156
CA_3,RI-wB2PLYP,1.632634656348639,-1.334665387573653
Eos_1,RI-wB2PLYP,0.2198581245011857,-2.2498100780584713
Eos_2,RI-wB2PLYP,0.3630796126705782,-2.1609395631021773
Eos_3,RI-wB2PLYP,0.3536853897345553,-2.282796396685338
Eos_Y,RI-wB2PLYP,0.5788481519027417,-2.106490782647468
Me2-Acr_1,RI-wB2PLYP,0.7330883484851016,-2.647471972585051
Me2-Acr_2,RI-wB2PLYP,0.7282344694382266,-2.9689965475471713
Me2-Acr_3,RI-wB2PLYP,0.8362773474324792,-2.5780095347366636
Mes-Acr_1,RI-wB2PLYP,2.4522552156886785,-0.7717094352564295
NCE_1,RI-wB2PLYP,1.5524257197941411,-2.1936944006167614
NCE_2,RI-wB2PLYP,1.264548311264062,-2.1942641275244354
NCE_3,RI-wB2PLYP,1.5742982878957807,-2.3748057064573667
NCE_4,RI-wB2PLYP,1.4392024815021314,-2.3648579998943955
PA_1,RI-wB2PLYP,-0.13969310552927805,-3.6328469950798716
PA_2,RI-wB2PLYP,-0.08512340546121333,-2.6312090052313466
PA_3,RI-wB2PLYP,0.03128932520822403,-2.5285461712728936
PDI_1,RI-wB2PLYP,1.604519279702033,-0.9682392971009843
PDI_2,RI-wB2PLYP,1.9370326267620284,-0.848157117001278
PDI_3,RI-wB2PLYP,2.3716826202486514,-0.43053020157332433
Ph-Acr_1,RI-wB2PLYP,1.3785882223208352,-1.3039899853358792
Ph-Acr_2,RI-wB2PLYP,1.785331415576346,-1.01002218532299
POZ_1,RI-wB2PLYP,0.5175631984146074,-2.9244052748884437
POZ_2,RI-wB2PLYP,0.509672707959167,-2.86622126411652
POZ_3,RI-wB2PLYP,0.4682610175505939,-3.088800348523442
POZ_4,RI-wB2PLYP,0.4234678730354675,-3.4382877474785065
POZ_5,RI-wB2PLYP,0.44354894786929755,-2.9855705357193987
PTZ_1,RI-wB2PLYP,0.46758104530143374,-3.379530724450458
PTZ_2,RI-wB2PLYP,0.6012081808204295,-3.2548273654991817
PTZ_3,RI-wB2PLYP,0.7000985661310075,-2.7759631287868256
Rh_6G,RI-wB2PLYP,1.2579106095399428,-1.273828408817678
Rh_B,RI-wB2PLYP,1.1696851252205658,-1.2365642244394506
BF3-Acr_m,DSD-BLYP,2.191206437077007,-1.3971424240996035
BF3-Acr_o,DSD-BLYP,2.187418934802224,-1.528936614100362
BF3-Acr_p,DSD-BLYP,2.2322145119892003,-1.3664007348965281
BOH-Acr_m,DSD-BLYP,2.3875192045907907,-1.1032467655145557
BOH-Acr_o,DSD-BLYP,2.423766738285546,-1.0657801250639918
BOH-Acr_p,DSD-BLYP,2.4027831961597386,-1.1090615551548537
CA_1,DSD-BLYP,1.507369886849105,-1.7523278122853343
CA_2,DSD-BLYP,1.3791875256058512,-2.0519389318352435
CA_3,DSD-BLYP,1.6623459795044324,-1.5123872261188924
Eos_1,DSD-BLYP,0.6397950559201044,-2.54749198500469
Eos_2,DSD-BLYP,0.792994291771782,-2.4418346498208985
Eos_3,DSD-BLYP,1.170898928464533,-2.786867883540464
Eos_Y,DSD-BLYP,0.8944133140970036,-2.37156798297815
Me2-Acr_1,DSD-BLYP,0.8736106923166922,-2.713644060933607
Me2-Acr_2,DSD-BLYP,1.0109301429898547,-3.095890475072502
Me2-Acr_3,DSD-BLYP,1.1480832370454843,-2.7652486712072126
Mes-Acr_1,DSD-BLYP,2.37971500108587,-1.1398559256824305
NCE_1,DSD-BLYP,1.5210633383849332,-2.3932297925567614
NCE_2,DSD-BLYP,1.2842598991349474,-2.3990403565371436
NCE_3,DSD-BLYP,1.5920014164958713,-2.647391558293495
NCE_4,DSD-BLYP,1.8938743508436646,-2.6440173938683946
PA_1,DSD-BLYP,-0.2555737638594495,-3.498641199174556
PA_2,DSD-BLYP,-0.2115542105146595,-2.6816526108104206
PA_3,DSD-BLYP,-0.09290620081533962,-2.6683703054916155
PDI_1,DSD-BLYP,1.7485243341836618,-1.055617932848103
PDI_2,DSD-BLYP,2.0476672250953465,-0.9835721310664285
PDI_3,DSD-BLYP,2.5410035590298357,-0.602608922805616
Ph-Acr_1,DSD-BLYP,1.5792816708718371,-1.6306887746130276
Ph-Acr_2,DSD-BLYP,1.8686204467142353,-1.3677786950263835
POZ_1,DSD-BLYP,0.7227266703438007,-3.127520258781388
POZ_2,DSD-BLYP,0.625408071048021,-2.9729257591490112
POZ_3,DSD-BLYP,0.5424181050505483,-3.195386397499148
POZ_4,DSD-BLYP,0.45463402969759237,-3.507777464292878
POZ_5,DSD-BLYP,0.6520384029098407,-3.1945533728381497
PTZ_1,DSD-BLYP,0.4563181940261174,-3.4285247411395123
PTZ_2,DSD-BLYP,0.5627781002168364,-3.347076401411198
PTZ_3,DSD-BLYP,0.8683447840096363,-2.8558096176904106
Rh_6G,DSD-BLYP,1.4609350916004766,-1.6610872769524203
Rh_B,DSD-BLYP,1.4112593333833754,-1.6065394475002481
BF3-Acr_m,B3LYP-D3,1.7685245674812173,-0.9622051580356049
BF3-Acr_o,B3LYP-D3,1.714009256466721,-1.1150327942459652
BF3-Acr_p,B3LYP-D3,1.7532072725992482,-0.9179871835531505
BOH-Acr_m,B3LYP-D3,2.0078882529872595,-0.728924580143753
BOH-Acr_o,B3LYP-D3,2.049699379481282,-0.6166772989846881
BOH-Acr_p,B3LYP-D3,1.979975074946902,-0.660012535775515
CA_1,B3LYP-D3,1.010708682204267,-1.417228137647827
CA_2,B3LYP-D3,0.7926381862951942,-1.681667396794329
CA_3,B3LYP-D3,1.1486644741035037,-1.217486693939338
Eos_1,B3LYP-D3,-0.15782513170906257,-2.2113690598391225
Eos_2,B3LYP-D3,0.0010586728212272634,-2.1208193296163995
Eos_3,B3LYP-D3,-0.11629292202700672,-2.2143212242055252
Eos_Y,B3LYP-D3,0.18396061617802548,-2.0448159954273124
Me2-Acr_1,B3LYP-D3,0.4158395350321561,-2.4723326073630507
Me2-Acr_2,B3LYP-D3,0.23384862925069302,-2.4685793394963027
Me2-Acr_3,B3LYP-D3,0.41575164222717176,-2.1924193156860796
Mes-Acr_1,B3LYP-D3,1.7294582545083572,-0.7840684744001915
NCE_1,B3LYP-D3,1.169795211644972,-1.9709076666147194
NCE_2,B3LYP-D3,0.865198734649305,-1.923454529238143
NCE_3,B3LYP-D3,0.9765461349390471,-1.9322612254893312
NCE_4,B3LYP-D3,0.7942787613670245,-1.8944496299913234
PA_1,B3LYP-D3,-0.27661947478008864,-3.158662794419555
PA_2,B3LYP-D3,-0.24191678129079755,-2.5991295499196903
PA_3,B3LYP-D3,-0.14357996583754887,-2.5546647680672403
PDI_1,B3LYP-D3,1.2165947312876786,-0.8326764634290263
PDI_2,B3LYP-D3,1.463952036514581,-0.6228140130330052
PDI_3,B3LYP-D3,1.8704309738770148,-0.2978201456125017
Ph-Acr_1,B3LYP-D3,1.0963266190024101,-1.2470905160106298
Ph-Acr_2,B3LYP-D3,1.4306877374274332,-0.912373200415379
POZ_1,B3LYP-D3,0.11299955365808464,-2.4472407068781474
POZ_2,B3LYP-D3,0.2105238368279215,-2.456080601021829
POZ_3,B3LYP-D3,0.16937993375806534,-2.747633567393405
POZ_4,B3LYP-D3,0.19218036257904067,-3.113414596478996
POZ_5,B3LYP-D3,0.08847283387061874,-2.4903204286638707
PTZ_1,B3LYP-D3,0.1970797744505651,-3.040645064597676
PTZ_2,B3LYP-D3,0.34804043677310725,-2.7845945346479444
PTZ_3,B3LYP-D3,0.287493991930608,-2.6318534306840564
Rh_6G,B3LYP-D3,0.8910424860148872,-1.2690229012993584
Rh_B,B3LYP-D3,0.8098942931520728,-1.2145073181737787
BF3-Acr_m,B97D3,1.4181868220457292,-1.0714371443886583
BF3-Acr_o,B97D3,1.558552455167693,-1.2163435431874174
BF3-Acr_p,B97D3,1.3424490710770205,-1.0179136887673135
BOH-Acr_m,B97D3,1.707587094872372,-0.7875395600910337
BOH-Acr_o,B97D3,1.7406930236259561,-0.7072507031191709
BOH-Acr_p,B97D3,1.6465467631787987,-0.7617711842937526
CA_1,B97D3,0.5778371396294452,-1.421553661180619
CA_2,B97D3,0.48115831453061697,-1.7305940312678763
CA_3,B97D3,0.7451096733565038,-1.2494029404569194
Eos_1,B97D3,-0.3078159798713379,-2.3015010951308845
Eos_2,B97D3,-0.14762412352768486,-2.1848507379696835
Eos_3,B97D3,-0.3108046075065468,-2.259834461150483
Eos_Y,B97D3,0.015176489381563657,-2.1511853428823544
Me2-Acr_1,B97D3,0.231006398922157,-2.455497188693082
Me2-Acr_2,B97D3,0.0011430281542819942,-2.3533600296575554
Me2-Acr_3,B97D3,0.24010534556143312,-2.0036759019497494
Mes-Acr_1,B97D3,2.3356571385809386,-0.8720625103002136
NCE_1,B97D3,0.9373908407044956,-1.944831529933626
NCE_2,B97D3,0.6061767202420582,-1.970699771550406
